Title,Short_Title,Link,Sale_Price,Original_Price,Reviews,Discount (%)
"11.6"" HD Windows 10 Professional Slim n Light Laptop - Windows 11 Compatible Intel N4020 128GB Storage, 4GB RAM, Anti-Glare, Dual-Band WiFi, USB 3.0 - Thin & Lightweight Design -C60Bv2 128GB N2 Model","11.6"" HD Windows 10 Profession",/11-6-Windows-Professional-Light-Laptop/dp/B09GYN3GNW/ref=sr_1_43?keywords=macbook+pro+m1&qid=1641921621&sr=8-43,0,0,5,
"iOTA Flo 360 11.6-inch Touchscreen Laptop (Intel Celeron Dual Core, 4GB RAM, 64GB eMMC, Windows 10S) Includes; Microsoft 365 Personal 1-year Subscription",iOTA Flo 360 11.6-inch Touchsc,/iOTA-11-6-inch-Touchscreen-Windows-Convertible/dp/B08M77QPBR/ref=sr_1_44?keywords=macbook+pro+m1&qid=1641921621&sr=8-44,0,0,430,
"Microsoft Surface Laptop 3 Ultra-Thin 13” Touchscreen Laptop (Platinum) - Intel 10th Gen Quad Core i5, 8GB RAM, 128GB SSD, Windows 10 Home, 2019 Edition",Microsoft Surface Laptop 3 Ult,/Microsoft-Surface-Ultra-Thin-Touchscreen-Platinum/dp/B07Y5H8WYW/ref=sr_1_45?keywords=macbook+pro+m1&qid=1641921621&sr=8-45,798,999,452,20.12012012
"HUAWEI MateBook D 14 Laptop, Full View 1080P FHD Ultrabook PC- (Intel Core i5-10210U, MX 250, Multi-screen Collaboration, 8 GB RAM, 512 GB SSD, Windows 10 Home，FREE Upgrade to Windows 11), Gray","HUAWEI MateBook D 14 Laptop, F",/HUAWEI-Ultrabook-Multi-screen-Collaboration-Fingerprint/dp/B091649MP4/ref=sr_1_46?keywords=macbook+pro+m1&qid=1641921621&sr=8-46,0,0,62,
"HUAWEI MateBook D15 2021 11th Gen Intel Core i5 Laptop - 15.6 inch, 1080P Eye Comfort FullView Ultrabook, Wi-Fi 6, 8GB memory, 512GB SSD, Windows 11, Space Grey",HUAWEI MateBook D15 2021 11th ,/HUAWEI-MateBook-2021-Intel-Laptop/dp/B09M8K4RYQ/ref=sr_1_47?keywords=macbook+pro+m1&qid=1641921621&sr=8-47,0,0,282,
"Apple MacBook Pro 15"" (Mid 2015) - Core i7 2.5GHz, 16GB RAM, 512GB SSD (Renewed)","Apple MacBook Pro 15"" (Mid 201",/Apple-MacBook-Display-Graphics-Refurbished/dp/B07F2H9QND/ref=sr_1_48?keywords=macbook+pro+m1&qid=1641921621&sr=8-48,809.99,809.99,36,0
"2021 15.6-inch Laptop 6G + 256G celeron J3455 high-Performance Quad-core CPU, 2PCS 4500mAh can Work continuously for 6-8 Hours, WiFi, HDMI, Bluetooth 4.0, Windows 10 (Silver 6G+256G)",2021 15.6-inch Laptop 6G + 256,/15-6-inch-high-Performance-Quad-core-continuously-Bluetooth/dp/B08HKXFBKJ/ref=sr_1_49?keywords=macbook+pro+m1&qid=1641921626&sr=8-49,348,348,14,0
"Apple MacBook Pro 15"" (2017) - i7 2.8GHz, 16GB, 256GB SSD - Space Grey (Renewed)","Apple MacBook Pro 15"" (2017) -",/Apple-MacBook-Pro-15-Renewed/dp/B07HM6FZ4S/ref=sr_1_50?keywords=macbook+pro+m1&qid=1641921626&sr=8-50,989,989,4,0
"CHUWI Coreboox Xpro15.6 Inch Gaming Laptops, Intel Core i5-8259U(Up to 3.8GHz), 8GB RAM+512GB SSD Windows 10 Laptop, FHD 1920x1080 IPS Dispaly, 2.4G/5G Dual Wifi, Backlit Keyboard, Mini-HDMI, BT5.1",CHUWI Coreboox Xpro15.6 Inch G,/CHUWI-2160x1440-Intel-Processor-Keyboard/dp/B08KZZ5FH2/ref=sr_1_51?keywords=macbook+pro+m1&qid=1641921626&sr=8-51,0,0,55,
"15.6 Zoll Laptop Notebook, FHD 1920 x 1080 with Intel M-5Y51 Windows 10 Pro 64 Bits, 8GB RAM 128GB SSD Supports Expand, WiFi, Bluetooth, Webcam, HDMI, Silver","15.6 Zoll Laptop Notebook, FHD",/Laptop-Notebook-Windows-Supports-Bluetooth/dp/B094J2YX4M/ref=sr_1_52?keywords=macbook+pro+m1&qid=1641921626&sr=8-52,198,238,1,16.80672269
